District,Province,Wood,Gas,Electricity,Cowdung,Biogas,Kerosene,Others
Taplejung,Koshi,24630,3006,32,5,51,21,31
Sankhuwasabha,Koshi,32922,5907,61,3,171,41,13
Solukhumbu,Koshi,21785,3945,400,1,56,51,1
Okhaldhunga,Koshi,31285,2724,21,3,216,23,14
Khotang,Koshi,38030,3351,43,4,241,42,9
Bhojpur,Koshi,35608,2836,36,3,30,48,19
Dhankuta,Koshi,27610,9790,34,1,146,12,23
Terhathum,Koshi,18708,3016,7,0,82,24,8
Panchthar,Koshi,36454,5683,36,4,190,25,45
Ilam,Koshi,55179,14225,144,8,883,21,41
Jhapa,Koshi,79554,153521,1202,3319,7124,21,278
Morang,Koshi,103055,145362,1648,15928,4681,47,1439
Sunsari,Koshi,74287,113767,1758,20907,1343,44,301
Udayapur,Koshi,56565,23164,755,21,468,48,30
Saptari,Madhesh,80995,19082,1077,44715,672,24,251
Siraha,Madhesh,86870,33186,1113,26535,711,19,115
Dhanusa,Madhesh,87599,66313,1150,20768,579,28,654
Mahottari,Madhesh,88223,37219,717,10058,1275,42,352
Sarlahi,Madhesh,109720,44889,1264,6788,1758,24,381
Rautahat,Madhesh,85569,35869,1687,11640,1748,61,451
Bara,Madhesh,78615,45038,1607,4667,1066,55,131
Parsa,Madhesh,60141,50396,853,1102,443,50,28
Dolakha,Bagmati,41310,7802,24,0,337,10,10
Sindhupalchok,Bagmati,57582,13653,65,6,284,96,11
Rasuwa,Bagmati,7565,3517,17,0,25,3,4
Dhading,Bagmati,51745,30302,163,9,1246,122,35
Nuwakot,Bagmati,45752,22365,79,24,395,19,12
Kathmandu,Bagmati,10275,526931,4694,12,561,157,262
Bhaktapur,Bagmati,7969,99180,844,12,303,46,52
Lalitpur,Bagmati,13643,124188,1296,18,901,41,43
Kavrepalanchok,Bagmati,45299,44829,173,9,895,102,23
Ramechhap,Bagmati,40650,5555,40,3,171,37,10
Sindhuli,Bagmati,49839,18782,100,13,531,31,21
Makwanpur,Bagmati,49544,55042,300,9,639,63,23
Chitawan,Bagmati,32814,142049,1092,70,3054,28,60
Gorkha,Gandaki,45813,24460,126,31,1137,133,29
Manang,Gandaki,1058,454,1,0,30,1,3
Mustang,Gandaki,1209,1951,4,113,325,2,2
Myagdi,Gandaki,21135,7385,42,0,165,28,11
Kaski,Gandaki,25782,133540,389,4,619,34,48
Lamjung,Gandaki,22963,20199,126,1,756,11,18
Tanahu,Gandaki,39478,47647,208,22,1098,25,35
Nawalparasi_East,Gandaki,33118,58965,252,45,1427,13,30
Syangja,Gandaki,45293,22643,106,5,843,21,12
Parbat,Gandaki,26029,9943,50,2,70,10,8
Baglung,Gandaki,50047,13830,86,2,78,37,16
Rukum_East,Lumbini,11966,830,14,0,44,23,1
Rolpa,Lumbini,47442,4254,91,9,318,65,27
Pyuthan,Lumbini,49844,6102,68,8,126,33,14
Gulmi,Lumbini,57020,8695,47,7,280,38,13
Arghakhanchi,Lumbini,42782,5563,36,3,37,12,16
Palpa,Lumbini,42743,21402,123,29,586,88,20
Nawalparasi_West,Lumbini,34168,46563,513,387,939,36,103
Rupandehi,Lumbini,52722,170714,871,11644,2068,34,118
Kapilbastu,Lumbini,62556,46122,865,10062,2034,30,192
Dang,Lumbini,85870,70703,531,1199,3706,131,126
Banke,Lumbini,58059,68269,587,231,1965,62,61
Bardiya,Lumbini,67526,32531,946,107,5127,22,26
Dolpa,Karnali,8078,557,1,429,234,12,69
Mugu,Karnali,11132,1132,14,0,83,65,4
Humla,Karnali,11035,133,8,0,14,8,6
Jumla,Karnali,22024,2308,13,0,23,44,10
Kalikot,Karnali,24487,2050,10,1,120,91,11
Dailekh,Karnali,48891,5215,89,20,185,175,19
Jajarkot,Karnali,33970,3231,65,28,51,83,25
Rukum _West,Karnali,33031,4077,27,3,120,26,6
Salyan,Karnali,49045,5424,17,2,104,63,17
Surkhet,Karnali,59269,37600,109,27,689,81,47
Bajura,SudurPaschim,25751,2000,18,0,241,18,13
Bajhang,SudurPaschim,35321,2553,20,0,102,23,6
Darchula,SudurPaschim,23857,4443,21,0,45,11,4
Baitadi,SudurPaschim,47018,2281,26,2,65,10,5
Dadeldhura,SudurPaschim,27350,3688,27,3,80,14,10
Doti,SudurPaschim,40584,4313,30,2,126,44,41
Achham,SudurPaschim,46350,2928,34,1,140,76,38
Kailali,SudurPaschim,101657,80777,999,281,11902,26,230
Kanchanpur,SudurPaschim,57452,46036,432,156,7028,12,51